gene,locus_capt,type,Stock_number,PA.site.number,insert.location,PA.group,treatment,collection.time,replicate,tray,row,column,plant_ID,rosette.diameter,bolt.at.collection,germination.day,Length.cm.,primary.length,upper.LR.count,mid.LR.count,lower.LR.count,upper.LR.length,mid.LR.length,lower.LR.length,LR.count,LR.density,mid.LR.density,lower.LR.density,ttl.LR.count,upper.LR.density,below.ground.mass.mg,above.ground.mass.mg,day.to.bolt,diameter.at.bolt,day.to.flower,day.to.mature,reprod.num,basal.fruit.length,mid.fruit.length,upper.fruit.length,inflorescence.height,mainbranch,basal.branch,ttl.maininfl.branch,branch.basalbranch,days.to.collect,days.to.bolt,days.to.flower,collection.age,days.to.mature,ttl.branch,fruit.num,flw.num,aborted.fruits,flw.buds,above.ground.mass.g,plant.age,locus,PAC_count,PAC_count_neg,PAC_count_pos,mean_PAC_insert_dist,mean_PAC_insert_dist_pos,mean_PAC_insert_dist_neg,PAC_strand_group
ARF1,AT1G59750,auxin.signal.transduction,SALK_079046C,2,exon,1+2,IAA,21d,5,2,P,6,356,14.9,n,2,49.7904,4.013,19,12,4,2.325,0.442,0.155,16,5.98056317,8.970844755,2.990281585,NA,NA,0.292,2.439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G59750,23,0,23,1676.869565,1676.869565,NA,+
ABP1,AT4G02980,auxin.signal.transduction,SALK_208329C,4,promoter,>2,IAA,21d,5,2,P,9,359,22.1,n,3,86.6691,5.213,NA,17,14,NA,0.468,0.34,31,8.920007673,9.783234222,8.056781124,NA,NA,0.688,3.706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT4G02980,3,3,0,1233.333333,NA,1233.333333,-
SUR1,AT2G20610,auxin.synthesis.metabolism,SALK_113460C,1,intron,1+2,control,21d,6,2,P,10,360,17.8,y,3,97.0212,6.706,NA,13,10,NA,1.252,0.144,23,5.144646585,5.815687444,4.473605726,NA,NA,0.619,4.788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT2G20610,7,7,0,1293.857143,NA,1293.857143,-
PIN7,AT1G23080,auxin.transport,SALK_048791C,3,exon,>2,control,21d,5,2,Q,1,361,31.2,y,3,202.6672,6.36,NA,11,9,NA,2.532,0.829,20,4.716981132,5.188679245,4.245283019,NA,NA,1.461,12.221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G23080,7,7,0,1353.714286,NA,1353.714286,-
SUR1,AT2G20610,auxin.synthesis.metabolism,SALK_113460C,1,intron,1+2,control,21d,5,2,Q,2,362,26.2,y,3,126.8853,5.432,NA,6,7,NA,2.588,0.423,13,3.589837997,3.313696613,3.865979381,NA,NA,1.265,13.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT2G20610,7,7,0,1293.857143,NA,1293.857143,-
ARF21,AT1G34410,auxin.signal.transduction,SALK_020702C,0,exon,0,IAA,21d,6,2,Q,5,365,22.9,n,2,87.672,4.316,25,4,6,3.459,0.058,0.902,10,3.475440222,2.780352178,4.170528267,NA,NA,0.73,5.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G34410,3,0,3,181.6666667,181.6666667,NA,+
IAA15,AT1G80390,auxin.signal.transduction,SALK_150265C,0,no.info,0,IAA,21d,6,2,Q,7,367,17.1,n,2,51.5534,4.598,NA,1,3,NA,0.154,0.046,4,1.304915181,0.65245759,1.957372771,NA,NA,0.707,6.272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G80390,2,2,0,NA,NA,NA,-
phytometer,,,CS22617,NA,phytometer,,IAA,21d,5,2,R,2,372,14.5,n,2,24.1529,2.612,NA,16,1,NA,0.118,0.026,17,9.762633997,18.37672282,1.148545176,NA,NA,0.35,2.248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,NA,NA,NA,NA,NA,NA,NA
AFB3,AT1G12820,auxin.signal.transduction,SALK_068787C,1,exon,1+2,control,21d,5,2,R,4,374,23.9,y,2,163.9111,4.405,13,6,4,5.547,0.65,0.478,10,3.405221339,4.086265607,2.724177072,NA,NA,1.501,14.466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G12820,11,11,0,NA,NA,NA,-
phytometer,,,CS22596,NA,phytometer,,IAA,21d,5,2,R,5,375,24.8,n,2,134.4658,4.302,NA,12,5,NA,0.498,0.29,17,5.927475593,8.368200837,3.486750349,NA,NA,1.64,11.846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,NA,NA,NA,NA,NA,NA,NA
PIN7,AT1G23080,auxin.transport,SALK_048791C,3,exon,>2,control,21d,6,2,R,8,378,26.1,y,2,132.9138,4.799,14,11,5,2.308,0.144,0.166,16,5.001041884,6.87643259,3.125651177,NA,NA,1.085,13.449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G23080,7,7,0,1353.714286,NA,1353.714286,-
phytometer,,,CS22596,NA,phytometer,,control,21d,5,2,S,1,381,27.7,n,5,97.2445,3.792,NA,5,7,NA,0.239,0.32,12,4.746835443,3.955696203,5.537974684,NA,NA,1.804,12.576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,NA,NA,NA,NA,NA,NA,NA
IAA5,AT1G15580,auxin.signal.transduction,SALK_112553C,2,exon,1+2,control,21d,6,2,S,5,385,31.3,y,4,234.4824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11,17.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G15580,1,1,0,465,NA,465,-
IAA33,AT5G57420,auxin.signal.transduction,SALK_134724C,0,promoter,0,IAA,21d,6,2,S,8,388,25.6,n,2,101.7567,4.295,26,8,9,0.314,2.437,1.349,17,5.937136205,5.587892899,6.286379511,NA,NA,0.873,7.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT5G57420,1,0,1,899,899,NA,+
IAA8,AT2G22670,auxin.signal.transduction,SALK_202296C,1,promoter,1+2,IAA,21d,5,2,S,9,389,26.2,n,3,138.7583,4.984,NA,22,0,NA,0.391,0,22,6.621187801,13.2423756,0,NA,NA,1.438,6.816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT2G22670,9,0,9,1312.666667,1312.666667,NA,+
ARF14,AT1G35540,auxin.signal.transduction,SALK_049581C,0,exon,0,control,21d,5,2,S,10,390,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G35540,4,0,4,1762,1762,NA,+
phytometer,,,CS22596,NA,phytometer,,control,21d,6,2,T,2,392,22.8,n,3,78.8693,2.816,NA,6,5,NA,2.624,0.066,11,5.859375,6.392045455,5.326704545,NA,NA,1.093,8.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,NA,NA,NA,NA,NA,NA,NA
PIN8,AT5G15100,auxin.transport,SALK_204263C,0,intron,0,IAA,21d,6,2,T,3,393,14.6,n,4,32.2625,3.697,NA,13,7,NA,0.646,0.583,20,8.114687585,10.54909386,5.680281309,NA,NA,0.184,1.282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT5G15100,0,0,0,NA,NA,NA,NA
LAX2,AT2G21050,auxin.transport,SALK_208379C,1,exon,1+2,IAA,21d,5,2,T,4,394,24.7,n,3,205.6314,5.051,NA,12,8,NA,0.301,1.782,20,5.939417937,7.127301524,4.75153435,NA,NA,1.566,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT2G21050,1,0,1,1535,1535,NA,+
ABP1,AT4G02980,auxin.signal.transduction,SALK_208329C,4,promoter,>2,control,21d,6,2,T,5,395,25.5,y,3,275.7183,7.698,NA,16,13,NA,2.249,0.751,29,5.650818394,6.235385814,5.066250974,NA,NA,2.18,13.774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT4G02980,3,3,0,1233.333333,NA,1233.333333,-
ARF11,AT2G46530,auxin.signal.transduction,SALK_063778C,4,exon,>2,IAA,21d,6,2,T,6,396,25.6,n,3,190.568,7.455,NA,24,27,NA,0.641,0.909,51,10.26156942,9.657947686,10.86519115,NA,NA,1.247,6.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT2G46530,4,0,4,1351,1351,NA,+
LAX2,AT2G21050,auxin.transport,SALK_208379C,1,exon,1+2,control,21d,6,2,T,7,397,34.9,y,4,196.3948,6.133,NA,8,10,NA,2.364,1.056,18,4.402413175,3.913256155,4.891570194,NA,NA,1.645,16.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT2G21050,1,0,1,1535,1535,NA,+
phytometer,,,CS22636,NA,phytometer,,control,21d,5,2,T,8,398,27.8,y,3,87.9508,5.19,NA,7,8,NA,0.182,0.046,15,4.335260116,4.046242775,4.624277457,NA,NA,0.87,11.671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,NA,NA,NA,NA,NA,NA,NA
ARF14,AT1G35540,auxin.signal.transduction,SALK_049581C,0,exon,0,IAA,21d,5,2,T,9,399,26,y,2,90.647,4.924,NA,7,2,NA,0.254,0.471,9,2.741673436,4.264825345,1.218521527,NA,NA,0.98,7.595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G35540,4,0,4,1762,1762,NA,+
phytometer,,,CS22647,NA,phytometer,,IAA,21d,5,3,A,1,401,19.8,n,2,85.7904,3.294,NA,8,12,NA,0.777,0.216,20,9.107468124,7.285974499,10.92896175,NA,NA,1.075,7.459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,NA,NA,NA,NA,NA,NA,NA
SUR1,AT2G20610,auxin.synthesis.metabolism,SALK_113460C,1,intron,1+2,IAA,21d,6,3,A,2,402,28.2,n,3,195.8396,4.824,NA,10,10,NA,0.873,0.361,20,6.218905473,6.218905473,6.218905473,NA,NA,1.617,8.967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT2G20610,7,7,0,1293.857143,NA,1293.857143,-
ARF4,AT5G60450,auxin.signal.transduction,SALK_070506C,3,exon,>2,IAA,21d,6,3,A,7,407,20,n,3,86.4662,5.061,NA,9,10,NA,1.225,2.07,19,5.631298162,5.334914049,5.927682276,NA,NA,0.553,2.699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT5G60450,10,10,0,2728.1,NA,2728.1,-
IAA15,AT1G80390,auxin.signal.transduction,SALK_150265C,0,no.info,0,control,21d,5,3,A,9,409,26.5,y,3,127.3565,5.421,NA,13,12,NA,3.035,0.088,25,6.917542889,7.194244604,6.640841173,NA,NA,1.093,12.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G80390,2,2,0,NA,NA,NA,-
phytometer,,,CS22617,NA,phytometer,,control,21d,5,3,B,1,411,17.9,n,4,83.3382,3.24,NA,6,5,NA,0.918,0.267,11,5.092592593,5.555555556,4.62962963,NA,NA,1.027,5.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,NA,NA,NA,NA,NA,NA,NA
IAA8,AT2G22670,auxin.signal.transduction,SALK_202296C,1,promoter,1+2,IAA,21d,6,3,B,3,413,30.1,y,3,258.7463,5.202,NA,13,13,NA,2.412,0.462,26,7.497116494,7.497116494,7.497116494,NA,NA,2.367,16.082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT2G22670,9,0,9,1312.666667,1312.666667,NA,+
ARF4,AT5G60450,auxin.signal.transduction,SALK_070506C,3,exon,>2,control,21d,6,3,B,4,414,26.9,y,3,211.9807,5.223,NA,8,10,NA,2.483,1.194,18,5.169442849,4.59506031,5.743825388,NA,NA,1.507,11.884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT5G60450,10,10,0,2728.1,NA,2728.1,-
PIN8,AT5G15100,auxin.transport,SALK_204263C,0,intron,0,control,21d,6,3,B,7,417,25.5,y,3,174.5842,5.355,NA,11,12,NA,1.207,0.336,23,6.442577031,6.162464986,6.722689076,NA,NA,1.259,12.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT5G15100,0,0,0,NA,NA,NA,NA
IAA33,AT5G57420,auxin.signal.transduction,SALK_134724C,0,promoter,0,IAA,21d,5,3,C,1,421,23.5,n,3,193.2682,6.879,NA,22,18,NA,0.653,0.352,40,8.722197994,9.594417793,7.849978195,NA,NA,1.395,5.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT5G57420,1,0,1,899,899,NA,+
phytometer,,,CS70000,NA,phytometer,,control,21d,5,3,C,2,422,25.6,y,3,213.1382,5.415,NA,6,8,NA,1.745,0.799,14,3.878116343,3.324099723,4.432132964,NA,NA,1.639,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,NA,NA,NA,NA,NA,NA,NA
ARF21,AT1G34410,auxin.signal.transduction,SALK_020702C,0,exon,0,IAA,21d,5,3,C,4,424,20.4,n,3,152.7421,5.667,NA,5,16,NA,0.571,1.076,21,5.558496559,2.646903123,8.470089995,NA,NA,1.127,6.468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G34410,3,0,3,181.6666667,181.6666667,NA,+
ARF11,AT2G46530,auxin.signal.transduction,SALK_063778C,4,exon,>2,control,21d,5,3,C,5,425,25.9,y,3,212.2262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.706,15.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT2G46530,4,0,4,1351,1351,NA,+
IAA5,AT1G15580,auxin.signal.transduction,SALK_112553C,2,exon,1+2,IAA,21d,5,3,C,6,426,21.7,n,4,164.2795,5.872,NA,18,13,NA,1.157,0.621,31,7.91893733,9.196185286,6.641689373,NA,NA,0.97,5.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G15580,1,1,0,465,NA,465,-
SUR1,AT2G20610,auxin.synthesis.metabolism,SALK_113460C,1,intron,1+2,IAA,21d,5,3,C,7,427,25.6,n,2,231.2169,5.343,24,16,7,1.618,1.821,0.373,23,6.457046603,8.983717013,3.930376193,NA,NA,1.558,9.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT2G20610,7,7,0,1293.857143,NA,1293.857143,-
IAA5,AT1G15580,auxin.signal.transduction,SALK_112553C,2,exon,1+2,IAA,21d,6,3,C,9,429,29.1,y,3,282.7143,5.585,NA,19,10,NA,0.902,0.785,29,7.788719785,10.20590868,5.371530886,NA,NA,2.573,17.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G15580,1,1,0,465,NA,465,-
ARF14,AT1G35540,auxin.signal.transduction,SALK_049581C,0,exon,0,IAA,21d,6,3,C,10,430,23.3,n,2,200.2591,4.795,32,11,10,0.316,0.937,1.977,21,6.569343066,6.882168926,6.256517205,NA,NA,1.167,7.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G35540,4,0,4,1762,1762,NA,+
phytometer,,,CS22636,NA,phytometer,,IAA,21d,5,3,D,3,433,22.8,y,3,105.3057,5.326,NA,16,11,NA,0.249,0.591,27,7.604205783,9.012392039,6.196019527,NA,NA,1.167,12.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,NA,NA,NA,NA,NA,NA,NA
phytometer,,,CS22658,NA,phytometer,,control,21d,5,3,D,5,435,30.5,y,2,189.8049,5.669,14,10,8,1.007,0.921,0.529,18,4.762744752,5.291938614,4.233550891,NA,NA,1.667,20.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,NA,NA,NA,NA,NA,NA,NA
ARF4,AT5G60450,auxin.signal.transduction,SALK_070506C,3,exon,>2,control,21d,5,3,D,8,438,24.7,y,3,224.2765,6.439,NA,6,16,NA,1.84,1.017,22,5.125019413,2.795465134,7.454573692,NA,NA,2.115,18.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT5G60450,10,10,0,2728.1,NA,2728.1,-
ARF1,AT1G59750,auxin.signal.transduction,SALK_079046C,2,exon,1+2,control,21d,6,3,D,9,439,10.4,n,3,32.3972,4.85,NA,10,6,NA,1.606,0.065,16,4.948453608,6.18556701,3.711340206,NA,NA,0.198,0.785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G59750,23,0,23,1676.869565,1676.869565,NA,+
AFB3,AT1G12820,auxin.signal.transduction,SALK_068787C,1,exon,1+2,IAA,21d,5,3,E,2,442,NA,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G12820,11,11,0,NA,NA,NA,-
IAA15,AT1G80390,auxin.signal.transduction,SALK_150265C,0,no.info,0,IAA,21d,5,3,E,3,443,21.7,n,2,190.7897,4.939,NA,12,8,NA,0.646,0.083,20,6.07410407,7.288924884,4.859283256,NA,NA,1.517,8.633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G80390,2,2,0,NA,NA,NA,-
ARF21,AT1G34410,auxin.signal.transduction,SALK_020702C,0,exon,0,control,21d,5,3,E,4,444,NA,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G34410,3,0,3,181.6666667,181.6666667,NA,+
IAA15,AT1G80390,auxin.signal.transduction,SALK_150265C,0,no.info,0,control,21d,6,3,E,7,447,31.2,y,2,171.3985,6.969,NA,9,12,NA,2.134,0.304,21,4.520017219,3.874300474,5.165733965,NA,NA,1.414,17.406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G80390,2,2,0,NA,NA,NA,-
IAA15,AT1G80390,auxin.signal.transduction,SALK_150265C,0,no.info,0,control,21d,6,3,E,7,447,31.2,y,2,171.3985,4.317,NA,8,16,NA,0.594,0.503,24,8.339124392,5.559416261,11.11883252,NA,NA,1.414,17.406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G80390,2,2,0,NA,NA,NA,-
phytometer,,,CS22658,NA,phytometer,,IAA,21d,5,3,E,9,449,24.6,y,2,172.0606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.517,12.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,NA,NA,NA,NA,NA,NA,NA
LAX2,AT2G21050,auxin.transport,SALK_208379C,1,exon,1+2,IAA,21d,6,3,E,10,450,28.7,n,2,238.8656,3.884,NA,13,8,NA,1.004,0.586,21,8.110195675,10.04119464,6.179196704,NA,NA,2.483,13.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT2G21050,1,0,1,1535,1535,NA,+
phytometer,,,CS22636,NA,phytometer,,control,21d,6,3,F,7,457,24.3,y,3,144.5954,3.586,NA,8,6,NA,1.87,0.081,14,5.856107083,6.692693809,5.019520357,NA,NA,1.326,16.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,NA,NA,NA,NA,NA,NA,NA
ARF11,AT2G46530,auxin.signal.transduction,SALK_063778C,4,exon,>2,IAA,21d,5,3,F,8,458,29.3,y,3,235.6233,5.848,NA,10,22,NA,0.638,0.095,32,8.207934337,5.12995896,11.28590971,NA,NA,2.352,14.976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT2G46530,4,0,4,1351,1351,NA,+
PIN7,AT1G23080,auxin.transport,SALK_048791C,3,exon,>2,IAA,21d,6,3,F,9,459,25.2,y,3,183.0339,4.21,NA,13,2,NA,1.775,0.932,15,5.344418052,9.263657957,1.425178147,NA,NA,1.61,11.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G23080,7,7,0,1353.714286,NA,1353.714286,-
phytometer,,,CS70000,NA,phytometer,,control,21d,6,3,G,2,462,25.2,y,3,189.9853,6.322,NA,9,21,NA,2.075,0.114,30,7.118000633,4.27080038,9.965200886,NA,NA,1.643,15.858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,NA,NA,NA,NA,NA,NA,NA
ARF1,AT1G59750,auxin.signal.transduction,SALK_079046C,2,exon,1+2,control,21d,5,3,G,6,466,NA,,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G59750,23,0,23,1676.869565,1676.869565,NA,+
phytometer,,,CS22617,NA,phytometer,,IAA,21d,6,3,G,7,467,24.3,n,2,131.7997,4.376,NA,14,7,NA,2.148,0.077,21,7.198354662,9.597806216,4.798903108,NA,NA,1.217,11.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,NA,NA,NA,NA,NA,NA,NA
phytometer,,,CS70000,NA,phytometer,,IAA,21d,5,3,G,9,469,22.2,y,3,161.1429,5.436,NA,18,8,NA,0.965,0.274,26,7.174392936,9.933774834,4.415011038,NA,NA,0.902,4.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,NA,NA,NA,NA,NA,NA,NA
IAA33,AT5G57420,auxin.signal.transduction,SALK_134724C,0,promoter,0,control,21d,6,3,H,1,471,26.7,y,3,124.3734,5.07,NA,7,4,NA,0.151,0.127,11,3.25443787,4.142011834,2.366863905,NA,NA,1.124,17.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT5G57420,1,0,1,899,899,NA,+
AFB3,AT1G12820,auxin.signal.transduction,SALK_068787C,1,exon,1+2,control,21d,6,3,H,4,474,27,y,3,190.6619,6.12,NA,9,10,NA,4.027,0.219,19,4.656862745,4.411764706,4.901960784,NA,NA,1.479,17.306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G12820,11,11,0,NA,NA,NA,-
IAA8,AT2G22670,auxin.signal.transduction,SALK_202296C,1,promoter,1+2,control,21d,5,3,H,6,476,26.9,y,3,208.3604,6.204,NA,12,15,NA,0.977,0.195,27,6.528046422,5.80270793,7.253384913,NA,NA,1.728,18.519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT2G22670,9,0,9,1312.666667,1312.666667,NA,+
AFB3,AT1G12820,auxin.signal.transduction,SALK_068787C,1,exon,1+2,IAA,21d,6,3,H,7,477,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G12820,11,11,0,NA,NA,NA,-
